EPSILON,ABAIARA,ACARAPE,ACARAU,ACOPIARA,AIUABA,ALCANTARAS,ALTANEIRA,ALTO SANTO,AMONTADA,ANTONINA DO NORTE,APUIARES,AQUIRAZ,ARACATI,ARACOIABA,ARARENDA,ARARIPE,ARATUBA,ARNEIROZ,ASSARE,AURORA,BAIXIO,BANABUIU,BARBALHA,BARREIRA,BARRO,BARROQUINHA,BATURITÉ,BEBERIBE,BELA CRUZ,BOA VIAGEM,BREJO SANTO,CAMOCIM,CAMPOS SALES,CANINDE,CAPISTRANO,CARIDADE,CARIRE,CARIRIACU,CARIUS,CARNAUBAL,CASCAVEL,CATARINA,CATUNDA,CAUCAIA,CEDRO,CHAVAL,CHOROZINHO,CHORÓ,COREAU,CRATEUS,CRATO,CROATA,CRUZ,DEPUTADO IRAPUAN PINHEIRO,ERERE,EUSEBIO,FARIAS BRITO,FORQUILHA,FORTALEZA,FORTIM,FRECHEIRINHA,GENERAL SAMPAIO,GRACA,GRANJA,GRANJEIRO,GROAIRAS,GUAIÚBA,GUARACIABA DO NORTE,GUARAMIRANGA,HIDROLANDIA,HORIZONTE,IBARETAMA,IBIAPINA,IBICUITINGA,ICAPUI,ICO,IGUATU,INDEPENDENCIA,IPAPORANGA,IPAUMIRIM,IPU,IPUEIRAS,IRACEMA,IRAUCUBA,ITAICABA,ITAITINGA,ITAPAJE,ITAPIPOCA,ITAPIUNA,ITAREMA,ITATIRA,JAGUARETAMA,JAGUARIBARA,JAGUARIBE,JAGUARUANA,JARDIM,JATI,JIJOCA DE JERICOACOARA,JUAZEIRO DO NORTE,JUCAS,LAVRAS DA MANGABEIRA,LIMOEIRO DO NORTE,MADALENA,MARACANAU,MARANGUAPE,MARCO,MARTINOPOLE,MASSAPE,MAURITI,MERUOCA,MILAGRES,MILHA,MIRAIMA,MISSAO VELHA,MOMBACA,MONSENHOR TABOSA,MORADA NOVA,MORAUJO,MORRINHOS,MUCAMBO,MULUNGU,NOVA OLINDA,NOVA RUSSAS,NOVO ORIENTE,OCARA,OROS,PACAJUS,PACATUBA,PACOTI,PACUJA,PALHANO,PALMACIA,PARACURU,PARAIPABA,PARAMBU,PARAMOTI,PEDRA BRANCA,PENAFORTE,PENTECOSTE,PEREIRO,PINDORETAMA,PIQUET CARNEIRO,PIRES FERREIRA,PORANGA,PORTEIRAS,POTENGI,POTIRETAMA,QUITERIANOPOLIS,QUIXADA,QUIXELO,QUIXERAMOBIM,QUIXERE,REDENCAO,RERIUTABA,RUSSAS,SABOEIRO,SALITRE,SANTA QUITERIA,SANTANA DO ACARAU,SANTANA DO CARIRI,SAO BENEDITO,SAO GONCALO DO AMARANTE,SAO JOAO DO JAGUARIBE,SAO LUÍS DO CURU,SENADOR POMPEU,SENADOR SA,SOBRAL,SOLONOPOLE,TABULEIRO DO NORTE,TAMBORIL,TARRAFAS,TAUA,TEJUCUOCA,TIANGUA,TRAIRI,TURURU,UBAJARA,UMARI,UMIRIM,URUBURETAMA,URUOCA,VARJOTA,VARZEA ALEGRE,VICOSA DO CEARA
0.1,625.0304002303766,2918.0304002303765,6852.0304002303765,3077.0304002303765,399.0304002303766,1371.0304002303767,1053.0304002303767,1218.0304002303767,2493.0304002303765,249.0304002303766,779.0304002303766,4218.0304002303765,5067.0304002303765,2649.0304002303765,926.0304002303766,1917.0304002303767,719.0304002303766,155.0304002303766,3130.0304002303765,2386.0304002303765,856.0304002303766,1439.0304002303767,8349.030400230376,809.0304002303766,2366.0304002303765,1773.0304002303767,2296.0304002303765,3625.0304002303765,3363.0304002303765,3746.0304002303765,14351.030400230376,11296.030400230376,3912.0304002303765,6648.0304002303765,1320.0304002303767,979.0304002303766,2140.0304002303765,1643.0304002303767,2478.0304002303765,1112.0304002303767,6551.0304002303765,815.0304002303766,1816.0304002303767,16160.030400230376,6229.0304002303765,948.0304002303766,1984.0304002303767,615.0304002303766,3114.0304002303765,18284.03040023038,26857.03040023038,1271.0304002303767,3671.0304002303765,1414.0304002303767,933.0304002303766,8314.030400230376,2573.0304002303765,894.0304002303766,223812.03040023037,1019.0304002303766,2209.0304002303765,361.0304002303766,1282.0304002303767,5223.0304002303765,866.0304002303766,1976.0304002303767,1331.0304002303767,2624.0304002303765,1362.0304002303767,5777.0304002303765,8866.030400230376,363.0304002303766,2006.0304002303767,1577.0304002303767,1589.0304002303767,9415.030400230376,20190.03040023038,2858.0304002303765,2282.0304002303765,1233.0304002303767,7901.0304002303765,4385.0304002303765,2616.0304002303765,427.0304002303766,835.0304002303766,2416.0304002303765,2471.0304002303765,7100.0304002303765,973.0304002303766,5133.0304002303765,2409.0304002303765,2798.0304002303765,2029.0304002303767,3009.0304002303765,3445.0304002303765,858.0304002303766,381.0304002303766,2583.0304002303765,36219.030400230375,1115.0304002303767,5378.0304002303765,7394.0304002303765,1867.0304002303767,22616.03040023038,8468.030400230376,924.0304002303766,921.0304002303766,2611.0304002303765,4416.0304002303765,1543.0304002303767,2820.0304002303765,1014.0304002303766,964.0304002303766,2375.0304002303765,4906.0304002303765,2182.0304002303765,6517.0304002303765,1071.0304002303767,771.0304002303766,1225.0304002303767,321.0304002303766,1081.0304002303767,2989.0304002303765,2003.0304002303767,1297.0304002303767,4264.0304002303765,6937.0304002303765,6267.0304002303765,917.0304002303766,457.0304002303766,399.0304002303766,1070.0304002303767,2453.0304002303765,2169.0304002303765,1163.0304002303767,581.0304002303766,519.0304002303766,321.0304002303766,1211.0304002303767,2499.0304002303765,1817.0304002303767,3690.0304002303765,1353.0304002303767,1154.0304002303767,3246.0304002303765,789.0304002303766,469.0304002303766,1025.0304002303767,9724.030400230376,3450.0304002303765,7646.0304002303765,2956.0304002303765,7082.0304002303765,2219.0304002303765,8406.030400230376,1045.0304002303767,1299.0304002303767,5922.0304002303765,2152.0304002303765,1154.0304002303767,3048.0304002303765,7083.0304002303765,462.0304002303766,611.0304002303766,1743.0304002303767,388.0304002303766,27496.03040023038,1073.0304002303767,5031.0304002303765,2728.0304002303765,258.0304002303766,9194.030400230376,1136.0304002303767,8263.030400230376,1661.0304002303767,1265.0304002303767,2704.0304002303765,678.0304002303766,600.0304002303766,1508.0304002303767,1934.0304002303767,2687.0304002303765,3253.0304002303765,4188.0304002303765
0.5,617.1527706743408,2910.152770674341,6844.152770674341,3069.152770674341,391.15277067434073,1363.1527706743407,1045.1527706743407,1210.1527706743407,2485.152770674341,241.15277067434073,771.1527706743408,4210.152770674341,5059.152770674341,2641.152770674341,918.1527706743408,1909.1527706743407,711.1527706743408,147.15277067434073,3122.152770674341,2378.152770674341,848.1527706743408,1431.1527706743407,8341.15277067434,801.1527706743408,2358.152770674341,1765.1527706743407,2288.152770674341,3617.152770674341,3355.152770674341,3738.152770674341,14343.15277067434,11288.15277067434,3904.152770674341,6640.152770674341,1312.1527706743407,971.1527706743408,2132.152770674341,1635.1527706743407,2470.152770674341,1104.1527706743407,6543.152770674341,807.1527706743408,1808.1527706743407,16152.15277067434,6221.152770674341,940.1527706743408,1976.1527706743407,607.1527706743408,3106.152770674341,18276.15277067434,26849.15277067434,1263.1527706743407,3663.152770674341,1406.1527706743407,925.1527706743408,8306.15277067434,2565.152770674341,886.1527706743408,223804.15277067435,1011.1527706743408,2201.152770674341,353.15277067434073,1274.1527706743407,5215.152770674341,858.1527706743408,1968.1527706743407,1323.1527706743407,2616.152770674341,1354.1527706743407,5769.152770674341,8858.15277067434,355.15277067434073,1998.1527706743407,1569.1527706743407,1581.1527706743407,9407.15277067434,20182.15277067434,2850.152770674341,2274.152770674341,1225.1527706743407,7893.152770674341,4377.152770674341,2608.152770674341,419.15277067434073,827.1527706743408,2408.152770674341,2463.152770674341,7092.152770674341,965.1527706743408,5125.152770674341,2401.152770674341,2790.152770674341,2021.1527706743407,3001.152770674341,3437.152770674341,850.1527706743408,373.15277067434073,2575.152770674341,36211.15277067434,1107.1527706743407,5370.152770674341,7386.152770674341,1859.1527706743407,22608.15277067434,8460.15277067434,916.1527706743408,913.1527706743408,2603.152770674341,4408.152770674341,1535.1527706743407,2812.152770674341,1006.1527706743408,956.1527706743408,2367.152770674341,4898.152770674341,2174.152770674341,6509.152770674341,1063.1527706743407,763.1527706743408,1217.1527706743407,313.15277067434073,1073.1527706743407,2981.152770674341,1995.1527706743407,1289.1527706743407,4256.152770674341,6929.152770674341,6259.152770674341,909.1527706743408,449.15277067434073,391.15277067434073,1062.1527706743407,2445.152770674341,2161.152770674341,1155.1527706743407,573.1527706743408,511.15277067434073,313.15277067434073,1203.1527706743407,2491.152770674341,1809.1527706743407,3682.152770674341,1345.1527706743407,1146.1527706743407,3238.152770674341,781.1527706743408,461.15277067434073,1017.1527706743408,9716.15277067434,3442.152770674341,7638.152770674341,2948.152770674341,7074.152770674341,2211.152770674341,8398.15277067434,1037.1527706743407,1291.1527706743407,5914.152770674341,2144.152770674341,1146.1527706743407,3040.152770674341,7075.152770674341,454.15277067434073,603.1527706743408,1735.1527706743407,380.15277067434073,27488.15277067434,1065.1527706743407,5023.152770674341,2720.152770674341,250.15277067434073,9186.15277067434,1128.1527706743407,8255.15277067434,1653.1527706743407,1257.1527706743407,2696.152770674341,670.1527706743408,592.1527706743408,1500.1527706743407,1926.1527706743407,2679.152770674341,3245.152770674341,4180.152770674341
1.0,615.9362453337651,2908.936245333765,6842.936245333765,3067.936245333765,389.93624533376504,1361.936245333765,1043.936245333765,1208.936245333765,2483.936245333765,239.93624533376504,769.9362453337651,4208.936245333765,5057.936245333765,2639.936245333765,916.9362453337651,1907.936245333765,709.9362453337651,145.93624533376504,3120.936245333765,2376.936245333765,846.9362453337651,1429.936245333765,8339.936245333765,799.9362453337651,2356.936245333765,1763.936245333765,2286.936245333765,3615.936245333765,3353.936245333765,3736.936245333765,14341.936245333765,11286.936245333765,3902.936245333765,6638.936245333765,1310.936245333765,969.9362453337651,2130.936245333765,1633.936245333765,2468.936245333765,1102.936245333765,6541.936245333765,805.9362453337651,1806.936245333765,16150.936245333765,6219.936245333765,938.9362453337651,1974.936245333765,605.9362453337651,3104.936245333765,18274.936245333764,26847.936245333764,1261.936245333765,3661.936245333765,1404.936245333765,923.9362453337651,8304.936245333765,2563.936245333765,884.9362453337651,223802.93624533375,1009.9362453337651,2199.936245333765,351.93624533376504,1272.936245333765,5213.936245333765,856.9362453337651,1966.936245333765,1321.936245333765,2614.936245333765,1352.936245333765,5767.936245333765,8856.936245333765,353.93624533376504,1996.936245333765,1567.936245333765,1579.936245333765,9405.936245333765,20180.936245333764,2848.936245333765,2272.936245333765,1223.936245333765,7891.936245333765,4375.936245333765,2606.936245333765,417.93624533376504,825.9362453337651,2406.936245333765,2461.936245333765,7090.936245333765,963.9362453337651,5123.936245333765,2399.936245333765,2788.936245333765,2019.936245333765,2999.936245333765,3435.936245333765,848.9362453337651,371.93624533376504,2573.936245333765,36209.93624533377,1105.936245333765,5368.936245333765,7384.936245333765,1857.936245333765,22606.936245333764,8458.936245333765,914.9362453337651,911.9362453337651,2601.936245333765,4406.936245333765,1533.936245333765,2810.936245333765,1004.9362453337651,954.9362453337651,2365.936245333765,4896.936245333765,2172.936245333765,6507.936245333765,1061.936245333765,761.9362453337651,1215.936245333765,311.93624533376504,1071.936245333765,2979.936245333765,1993.936245333765,1287.936245333765,4254.936245333765,6927.936245333765,6257.936245333765,907.9362453337651,447.93624533376504,389.93624533376504,1060.936245333765,2443.936245333765,2159.936245333765,1153.936245333765,571.9362453337651,509.93624533376504,311.93624533376504,1201.936245333765,2489.936245333765,1807.936245333765,3680.936245333765,1343.936245333765,1144.936245333765,3236.936245333765,779.9362453337651,459.93624533376504,1015.9362453337651,9714.936245333765,3440.936245333765,7636.936245333765,2946.936245333765,7072.936245333765,2209.936245333765,8396.936245333765,1035.936245333765,1289.936245333765,5912.936245333765,2142.936245333765,1144.936245333765,3038.936245333765,7073.936245333765,452.93624533376504,601.9362453337651,1733.936245333765,378.93624533376504,27486.936245333764,1063.936245333765,5021.936245333765,2718.936245333765,248.93624533376504,9184.936245333765,1126.936245333765,8253.936245333765,1651.936245333765,1255.936245333765,2694.936245333765,668.9362453337651,590.9362453337651,1498.936245333765,1924.936245333765,2677.936245333765,3243.936245333765,4178.936245333765
10.0,617.0020248183075,2910.0020248183073,6844.002024818307,3069.0020248183073,391.00202481830746,1363.0020248183075,1045.0020248183075,1210.0020248183075,2485.0020248183073,241.00202481830746,771.0020248183075,4210.002024818307,5059.002024818307,2641.0020248183073,918.0020248183075,1909.0020248183075,711.0020248183075,147.00202481830746,3122.0020248183073,2378.0020248183073,848.0020248183075,1431.0020248183075,8341.002024818308,801.0020248183075,2358.0020248183073,1765.0020248183075,2288.0020248183073,3617.0020248183073,3355.0020248183073,3738.0020248183073,14343.002024818308,11288.002024818308,3904.0020248183073,6640.002024818307,1312.0020248183075,971.0020248183075,2132.0020248183073,1635.0020248183075,2470.0020248183073,1104.0020248183075,6543.002024818307,807.0020248183075,1808.0020248183075,16152.002024818308,6221.002024818307,940.0020248183075,1976.0020248183075,607.0020248183075,3106.0020248183073,18276.002024818306,26849.002024818306,1263.0020248183075,3663.0020248183073,1406.0020248183075,925.0020248183075,8306.002024818308,2565.0020248183073,886.0020248183075,223804.0020248183,1011.0020248183075,2201.0020248183073,353.00202481830746,1274.0020248183075,5215.002024818307,858.0020248183075,1968.0020248183075,1323.0020248183075,2616.0020248183073,1354.0020248183075,5769.002024818307,8858.002024818308,355.00202481830746,1998.0020248183075,1569.0020248183075,1581.0020248183075,9407.002024818308,20182.002024818306,2850.0020248183073,2274.0020248183073,1225.0020248183075,7893.002024818307,4377.002024818307,2608.0020248183073,419.00202481830746,827.0020248183075,2408.0020248183073,2463.0020248183073,7092.002024818307,965.0020248183075,5125.002024818307,2401.0020248183073,2790.0020248183073,2021.0020248183075,3001.0020248183073,3437.0020248183073,850.0020248183075,373.00202481830746,2575.0020248183073,36211.00202481831,1107.0020248183075,5370.002024818307,7386.002024818307,1859.0020248183075,22608.002024818306,8460.002024818308,916.0020248183075,913.0020248183075,2603.0020248183073,4408.002024818307,1535.0020248183075,2812.0020248183073,1006.0020248183075,956.0020248183075,2367.0020248183073,4898.002024818307,2174.0020248183073,6509.002024818307,1063.0020248183075,763.0020248183075,1217.0020248183075,313.00202481830746,1073.0020248183075,2981.0020248183073,1995.0020248183075,1289.0020248183075,4256.002024818307,6929.002024818307,6259.002024818307,909.0020248183075,449.00202481830746,391.00202481830746,1062.0020248183075,2445.0020248183073,2161.0020248183073,1155.0020248183075,573.0020248183075,511.00202481830746,313.00202481830746,1203.0020248183075,2491.0020248183073,1809.0020248183075,3682.0020248183073,1345.0020248183075,1146.0020248183075,3238.0020248183073,781.0020248183075,461.00202481830746,1017.0020248183075,9716.002024818308,3442.0020248183073,7638.002024818307,2948.0020248183073,7074.002024818307,2211.0020248183073,8398.002024818308,1037.0020248183075,1291.0020248183075,5914.002024818307,2144.0020248183073,1146.0020248183075,3040.0020248183073,7075.002024818307,454.00202481830746,603.0020248183075,1735.0020248183075,380.00202481830746,27488.002024818306,1065.0020248183075,5023.002024818307,2720.0020248183073,250.00202481830746,9186.002024818308,1128.0020248183075,8255.002024818308,1653.0020248183075,1257.0020248183075,2696.0020248183073,670.0020248183075,592.0020248183075,1500.0020248183075,1926.0020248183075,2679.0020248183073,3245.0020248183073,4180.002024818307
