0.1,0.5,1.0,10.0
JIJOCA DE JERICOACOARA,BELA CRUZ,APUIARES,URUBURETAMA
BARRO,GUARACIABA DO NORTE,MUCAMBO,MADALENA
ARACOIABA,TABULEIRO DO NORTE,LIMOEIRO DO NORTE,ARACOIABA
ACARAPE,TRAIRI,PENTECOSTE,VARZEA ALEGRE
CATUNDA,FORTIM,TEJUCUOCA,CATARINA
CAMPOS SALES,MULUNGU,CRATO,MONSENHOR TABOSA
MILAGRES,TIANGUA,QUIXERE,QUIXADA
PENAFORTE,PALMACIA,BARREIRA,SANTANA DO CARIRI
ANTONINA DO NORTE,GROAIRAS,RERIUTABA,NOVO ORIENTE
CARIUS,ARACATI,OCARA,ALTO SANTO
