0.1,0.5,1.0,10.0
PACATUBA,JIJOCA DE JERICOACOARA,IBICUITINGA,ACARAU
PENTECOSTE,CARIUS,MARTINOPOLE,JUAZEIRO DO NORTE
SABOEIRO,PALMACIA,SANTA QUITERIA,CAMOCIM
ALCANTARAS,ABAIARA,JARDIM,BEBERIBE
GROAIRAS,BARREIRA,BAIXIO,PENAFORTE
BARROQUINHA,CRATO,MOMBACA,BEBERIBE
CANINDE,SABOEIRO,ITAICABA,SABOEIRO
PENTECOSTE,ALTANEIRA,ICO,ALTANEIRA
SABOEIRO,BREJO SANTO,CEDRO,JAGUARETAMA
ITAPAJE,BOA VIAGEM,MORRINHOS,CARIRE
